variable,definition,source,notes
participant_id,Backend session identifier,SessionRecord.id,Analytic identifier; no phone or payment reference
condition,Assigned treatment key,SessionRecord.treatment_key,control or norm_0 through norm_60
treated_i,Indicator for any norm-message condition,Derived from condition,0 for control; 1 for norm conditions
k_i,Displayed number of prior six reports,SessionRecord displayed_count_target,0 for control by construction
x_i,Displayed norm intensity,Derived as k_i/60,0 for control
true_die_i,First die result assigned by backend,SessionRecord/Claim/Throw,Primary real die outcome for causal analysis
reported_value_i,Final value reported by participant,Claim.reported_value,Payment-relevant report
Report6_i,Indicator for reporting six,Derived from reported_value_i,Primary outcome
Report5_i,Indicator for reporting five,Derived from reported_value_i,Exploratory deniability outcome only
prediction_value,Participant prediction about others,Claim.crowd_prediction_value,Post-report measure; not a main control
social_recall_count,Participant recall of displayed count,Claim.social_recall_count,Post-report comprehension/memory check
memory_correct_i,Correct recall indicator,Claim.social_recall_correct,1 if recall falls in the correct bucket
invited_by_whatsapp,Arrived via WhatsApp referral,SessionRecord referral fields,1 only when WhatsApp marker and referral/link evidence are present
entered_from_whatsapp,Entry path contains WhatsApp marker,SessionRecord referral fields,Includes source medium campaign link id and landing path
shared_whatsapp_link_i,Participant generated WhatsApp invite link,ReferralLink.channel,Outgoing invitation behavior
whatsapp_invite_clicks,Clicks on participant WhatsApp invite links,ReferralLink.click_count,Sum across WhatsApp links generated by participant
referral_source,Traffic source captured on entry,SessionRecord.referral_source,Analytic provenance
referral_medium,Traffic medium captured on entry,SessionRecord.referral_medium,Analytic provenance
referral_campaign,Campaign captured on entry,SessionRecord.referral_campaign,Analytic provenance
referral_link_id,Referral link identifier used on entry,SessionRecord.referral_link_id,Analytic provenance
referral_landing_path,Landing path used on entry,SessionRecord.referral_landing_path,Analytic provenance
qr_entry_code,QR or entry code captured on entry,SessionRecord.qr_entry_code,Raw entry code
qr_entry_point,Four-bucket QR entry point,Derived from qr_entry_code,Stable anonymized location bucket
invited_by_session_id,Inviter session identifier,SessionRecord.invited_by_session_id,Analytic network identifier
invited_by_referral_code,Inviter referral code,SessionRecord.invited_by_referral_code,Analytic network identifier
throws_vector,All backend-served die values in order,Throw.result_value ordered by attempt_index,JSON array; first element equals true_die_i
throws_count,Number of backend-served throws,Derived from throws_vector,1 plus rerolls
reroll_count,Number of participant rerolls,SessionRecord.reroll_count,Should equal throws_count minus 1 when complete
reported_matches_any_seen,Whether final report appeared in throws_vector,Derived from report and throws,Quality/reconstructability check
time_block,Local time block,Derived from created_at,Europe/Madrid buckets
time_to_first_click,Landing first-click latency,ScreenSpell/Consent telemetry,Post-treatment quality metric
time_to_report,Report reaction time,Claim/Session timing,Post-treatment quality metric
total_time_on_screen,Total session duration,SessionRecord timestamps,Post-treatment quality metric
interactions_count,Total click count,SessionRecord.click_count_total,Post-treatment quality metric
completion_flag,Completed-session indicator,SessionRecord state,1 for completed records in export
validity_flag,Validity indicator,SessionRecord.is_valid_completed,1 for valid completed records in export
